"country_code","country","sea_level_1993_1997_mm","sea_level_2019_2023_mm","sea_level_rise_mm"
"PW","Palau",-60,120,180
"FM","Micronesia",-40,120,160
"GU","Guam",-40,100,140
"PG","Papua New Guinea",-20,120,140
"SB","Solomon Islands",0,140,140
"VU","Vanuatu",0,140,140
"FJ","Fiji",0,120,120
"MH","Marshall Islands",-20,100,120
"NU","Niue",0,120,120
"CK","Cook Islands",0,100,100
"KI","Kiribati",0,100,100
"MP","Northern Mariana Islands",0,100,100
"NC","New Caledonia",0,100,100
"NR","Nauru",0,100,100
"PF","French Polynesia",0,100,100
"TO","Tonga",0,100,100
"TV","Tuvalu",0,100,100
"WF","Wallis and Futuna",20,120,100
"WS","Samoa",20,120,100
"AS","American Samoa",20,100,80
"TK","Tokelau",20,100,80
