"country_code","country","year","loss_usd"
"FJ","Fiji",2010,24623058
"FJ","Fiji",2011,1224504
"FJ","Fiji",2012,141400784
"FJ","Fiji",2016,374109863
"FJ","Fiji",2018,50247780
"FJ","Fiji",2019,1090125
"FJ","Fiji",2020,24247724
"PF","French Polynesia",2016,30220000
"KI","Kiribati",2014,268950
"KI","Kiribati",2020,30750
"MH","Marshall Islands",2014,454125
"MH","Marshall Islands",2016,1781682
"FM","Micronesia",2016,20310000
"FM","Micronesia",2018,196875
"FM","Micronesia",2019,8270325
"NC","New Caledonia",2016,20310000
"PW","Palau",2012,6190257
"PG","Papua New Guinea",2012,1077375
"PG","Papua New Guinea",2013,1713195
"PG","Papua New Guinea",2020,1593750
"WS","Samoa",2016,22048411
"SB","Solomon Islands",2010,5826567
"SB","Solomon Islands",2011,129938
"SB","Solomon Islands",2012,1091496
"SB","Solomon Islands",2013,12626951
"TO","Tonga",2010,4676174
"TO","Tonga",2011,1113801
"TO","Tonga",2014,18560063
"TO","Tonga",2016,3050475
"TO","Tonga",2018,8579025
"VU","Vanuatu",2010,3071588
"VU","Vanuatu",2011,1470068
"VU","Vanuatu",2012,281580
"VU","Vanuatu",2014,245100
"VU","Vanuatu",2018,64500000
