"country_code","country","first_year","first_value","last_year","last_value","total_change","slope_c_per_decade","r2","n_years","mean_1850_1900","mean_2015_2025","period_delta"
"SB","Solomon Islands",1850,0,2025,0.9,0.9,0.0407329958177417,0.282020576995932,176,-0.207843137254902,0.645454545454545,0.853297682709447
"PG","Papua New Guinea",1850,0,2025,1.1,1.1,0.0371857803213736,0.21039431640772,176,-0.170588235294118,0.645454545454546,0.816042780748663
"TK","Tokelau",1850,-0.1,2025,0.4,0.5,0.0414461809377064,0.267240257444643,176,-0.307843137254902,0.490909090909091,0.798752228163993
"WS","Samoa",1850,0.1,2025,0.5,0.4,0.0409685230024214,0.382998328808856,176,-0.233333333333333,0.563636363636364,0.796969696969697
"NC","New Caledonia",1850,-0.6,2025,0.8,1.4,0.0404523442659036,0.236677345890835,176,-0.305882352941176,0.490909090909091,0.796791443850267
"VU","Vanuatu",1850,-0.3,2025,0.8,1.1,0.0392780101254678,0.261151352459367,176,-0.252941176470588,0.536363636363636,0.789304812834225
"GU","Guam",1850,-0.2,2025,0.9,1.1,0.0370449042482941,0.27776171472744,176,-0.150980392156863,0.627272727272727,0.77825311942959
"FM","Micronesia",1850,0,2025,0.9,0.9,0.0354974686330619,0.26728494046142,176,-0.131372549019608,0.645454545454545,0.776827094474153
"MP","Northern Mariana Islands",1850,-0.4,2025,0.9,1.3,0.0330002201188642,0.215583354305209,176,-0.0980392156862745,0.672727272727273,0.770766488413547
"WF","Wallis and Futuna",1850,0,2025,0.5,0.5,0.0396302003081665,0.380202654160274,176,-0.213725490196078,0.545454545454545,0.759180035650624
"KI","Kiribati",1850,-0.2,2025,0.1,0.3,0.040627338762932,0.163122388700348,176,-0.386274509803922,0.372727272727273,0.759001782531194
"AS","American Samoa",1850,0,2025,0.5,0.5,0.0384800792427912,0.360043161775448,176,-0.2,0.554545454545455,0.754545454545455
"MH","Marshall Islands",1850,-0.2,2025,0.6,0.8,0.0401045564604887,0.366292554529247,176,-0.225490196078431,0.527272727272727,0.752762923351159
"PF","French Polynesia",1850,-0.5,2025,0.6,1.1,0.0388146599163549,0.407438202606983,176,-0.323529411764706,0.418181818181818,0.741711229946524
"PW","Palau",1850,0,2025,0.9,0.9,0.0280101254677526,0.151158728584734,176,-0.0823529411764706,0.636363636363636,0.718716577540107
"CK","Cook Islands",1850,-0.2,2025,0.5,0.7,0.0363812458727713,0.319849202704908,176,-0.203921568627451,0.509090909090909,0.71301247771836
"TV","Tuvalu",1850,0,2025,0.4,0.4,0.0332907770195906,0.199036398623129,176,-0.180392156862745,0.527272727272727,0.707664884135472
"FJ","Fiji",1850,-0.2,2025,0.7,0.9,0.0343726612370681,0.216430452123353,176,-0.17843137254902,0.527272727272727,0.705704099821747
"NR","Nauru",1850,0.3,2025,0.3,0,0.0289302223200529,0.111202723390351,176,-0.135294117647059,0.545454545454545,0.680748663101604
"TO","Tonga",1850,-0.2,2025,0.6,0.8,0.0326282192383888,0.182172804228121,176,-0.111764705882353,0.563636363636364,0.675401069518717
"NU","Niue",1850,-0.2,2025,0.5,0.7,0.0316057671142417,0.178369450495735,176,-0.0725490196078431,0.572727272727273,0.645276292335116
