"country_code","country","first_year","first_value","last_year","last_value","total_change","slope_mm_per_decade","r2","n_years","mean_1979_1999","mean_2015_2025","period_delta","sd_mm","wettest_year","wettest_value","driest_year","driest_value"
"SB","Solomon Islands",1979,5.5,2025,6.1,0.6,4.08140610545796,0.237814203634001,47,-5.41904761904762,11.7636363636364,17.182683982684,11.4754530281669,2023,24.4,1997,-28
"NC","New Caledonia",1979,-4.4,2025,-6.6,-2.2,-3.99086493987055,0.146228199433322,47,8.38095238095238,-7.85454545454546,-16.2354978354978,14.3096953864733,1989,37.3,2017,-18.5
"TO","Tonga",1979,-19.5,2025,16.3,35.8,5.20513413506015,0.343758330318804,47,-9.82380952380952,4.65454545454545,14.478354978355,12.1726247666445,2019,37,1987,-26.3
"FM","Micronesia",1979,7,2025,5.7,-1.3,4.35915818686407,0.150784401022963,47,-6.63333333333333,7.57272727272727,14.2060606060606,15.3922938658695,2019,34.7,1983,-44.4
"NU","Niue",1979,-18.1,2025,11.6,29.7,4.29775670675301,0.242219754163072,47,-8.1,5.20909090909091,13.3090909090909,11.9733581065558,1988,20.8,1983,-24.1
"WF","Wallis and Futuna",1979,-19.2,2025,13.8,33,3.9854301572618,0.219586956608988,47,-7.11904761904762,5.10909090909091,12.2281385281385,11.6614044341367,2019,37.7,1983,-24.8
"NR","Nauru",1979,21.6,2025,-41.8,-63.4,-4.86574930619796,0.0471808164528032,47,2.4,-7.21818181818182,-9.61818181818182,30.7146752643707,2019,66.6,1999,-54.4
"PW","Palau",1979,-17.6,2025,9.7,27.3,4.00855689176689,0.140887044722004,47,-7.76190476190476,0.845454545454545,8.60735930735931,14.6430466744866,2011,31.6,1983,-29.4
"WS","Samoa",1979,-19.5,2025,13.9,33.4,2.40876503237741,0.101037099959261,47,-5.28095238095238,2.97272727272727,8.25367965367965,10.39041577876,2020,27.3,1998,-21.2
"VU","Vanuatu",1979,2.5,2025,-0.3,-2.8,2.66998149861243,0.0809159637786599,47,-2.68095238095238,5.30909090909091,7.99004329004329,12.8697488236021,2022,33.7,1993,-24.3
"AS","American Samoa",1979,-16.4,2025,11.7,28.1,2.15969010175762,0.0834030554612034,47,-5.02857142857143,2.37272727272727,7.4012987012987,10.2536710783404,2019,21.2,2021,-24.7
"MH","Marshall Islands",1979,-2.2,2025,-4.3,-2.1,1.65043940795561,0.0462631347965169,47,-2.2952380952381,4.90909090909091,7.204329004329,10.5210959390874,1997,20.7,1984,-25.9
"GU","Guam",1979,-9.5,2025,-3.1,6.4,1.86933395004625,0.0619613556529963,47,-4.85714285714286,0.518181818181818,5.37532467532468,10.2968731501243,2004,18.3,1998,-27
"KI","Kiribati",1979,2.6,2025,-22.3,-24.9,-2.27000462534692,0.023475574213246,47,1.97619047619048,-2.13636363636364,-4.11255411255411,20.3140985388217,2015,50.3,1999,-29.7
"TK","Tokelau",1979,-14.2,2025,-5.6,8.6,-1.48450508788163,0.0133356290684506,47,1.06666666666667,-3.04545454545455,-4.11212121212121,17.6260038849131,1987,35.4,2021,-38.8
"MP","Northern Mariana Islands",1979,-7.6,2025,-12.8,-5.2,1.13286308973173,0.0176349505548082,47,-3.53333333333333,0.154545454545454,3.68787878787879,11.6968582955873,2004,25.3,1998,-27
"TV","Tuvalu",1979,-6.4,2025,-15.6,-9.2,-2.00046253469013,0.0245970437650319,47,3.08571428571429,-0.590909090909088,-3.67662337662337,17.4891172716556,2019,37.7,2011,-41.5
"PG","Papua New Guinea",1979,-11.1,2025,11.5,22.6,1.4163968547641,0.0390709792823627,47,-2.15714285714286,1.40909090909091,3.56623376623377,9.82509436015446,2019,22,1997,-26.7
"PN","Pitcairn",1979,6.8,2025,-7.6,-14.4,-1.19750231267345,0.0276637887801782,47,0.247619047619048,-3.31818181818182,-3.56580086580087,9.87187063262247,2012,24.2,2011,-28.3
"FJ","Fiji",1979,4.7,2025,1.3,-3.4,0.961493987049045,0.012313020958822,47,-0.0666666666666661,3.21818181818182,3.28484848484848,11.8807316855446,2012,23.9,1998,-24.2
"PF","French Polynesia",1979,4.7,2025,5.3,0.6,-0.646507863089726,0.0143123695122335,47,0.652380952380952,-1.30909090909091,-1.96147186147186,7.4096375724236,1998,20,2011,-20.4
"CK","Cook Islands",1979,-7.4,2025,-7.2,0.2,0.58221554116558,0.00875563417692874,47,-2.19047619047619,-0.345454545454546,1.84502164502165,8.53137269576271,1988,22.2,1982,-18.8
