"country_code","country","first_year","first_value","last_year","last_value","total_change","slope_mm_per_year","r2","n_years","mean_1993_1997_mm","mean_2019_2023_mm","period_delta"
"PW","Palau",1993,-100,2023,100,200,4.83870967741935,0.248618784530389,31,-60,120,180
"FM","Micronesia",1993,-100,2023,100,200,4.63709677419355,0.338755122950823,31,-40,120,160
"GU","Guam",1993,0,2023,100,100,3.54838709677417,0.176642335766423,31,-40,100,140
"PG","Papua New Guinea",1993,-100,2023,100,200,5.40322580645161,0.534404761904766,31,-20,120,140
"SB","Solomon Islands",1993,-100,2023,100,200,5.12096774193548,0.414840534979428,31,0,140,140
"VU","Vanuatu",1993,0,2023,200,200,4.59677419354836,0.448756906077347,31,0,140,140
"FJ","Fiji",1993,0,2023,100,100,4.15322580645159,0.442041666666666,31,0,120,120
"MH","Marshall Islands",1993,0,2023,100,100,3.8306451612903,0.389008620689654,31,-20,100,120
"NU","Niue",1993,0,2023,100,100,4.91935483870965,0.620166666666665,31,0,120,120
"CK","Cook Islands",1993,0,2023,100,100,4.63709677419352,0.570043103448273,31,0,100,100
"KI","Kiribati",1993,0,2023,100,100,3.91129032258062,0.397339527027026,31,0,100,100
"MP","Northern Mariana Islands",1993,0,2023,100,100,3.42741935483869,0.410511363636362,31,0,100,100
"NC","New Caledonia",1993,0,2023,100,100,4.31451612903223,0.596302083333332,31,0,100,100
"NR","Nauru",1993,0,2023,100,100,4.47580645161288,0.509975165562912,31,0,100,100
"PF","French Polynesia",1993,0,2023,100,100,4.15322580645158,0.602784090909088,31,0,100,100
"TO","Tonga",1993,0,2023,100,100,3.87096774193546,0.484033613445378,31,0,100,100
"TV","Tuvalu",1993,0,2023,100,100,4.39516129032255,0.348620892018778,31,0,100,100
"WF","Wallis and Futuna",1993,0,2023,100,100,4.15322580645159,0.272865226337448,31,20,120,100
"WS","Samoa",1993,0,2023,100,100,4.51612903225804,0.322633744855966,31,20,120,100
"AS","American Samoa",1993,0,2023,100,100,3.8306451612903,0.272493961352656,31,20,100,80
"TK","Tokelau",1993,0,2023,100,100,3.22580645161289,0.264900662251656,31,20,100,80
