"country_code","country","first_year","first_value","last_year","last_value","total_change","slope_ton_per_decade","r2","n_years","mean_1970_1979","mean_2020_2024","period_delta","mean_2000_2004","change_2000s_to_recent","peak_year","peak_value","decline_from_peak"
"PW","Palau",1970,190.6,2024,86.7,-103.9,-22.1595238095239,0.700744811820143,55,176.19,80.96,-95.23,98.86,-17.9,2012,209.5,-122.8
"NC","New Caledonia",1970,12.6,2024,18.4,5.8,1.37987012987014,0.433480358138015,55,12.43,18.58,6.15,11.72,6.86,2018,22.8,-4.4
"PF","French Polynesia",1970,1.7,2024,3.8,2.1,0.275468975468975,0.189189190592268,55,1.75,3.34,1.59,3.8,-0.46,1987,5.2,-1.4
"TO","Tonga",1970,0.8,2024,2.8,2,0.345526695526697,0.835030773174179,55,1,2.84,1.84,2.1,0.74,2021,3.1,-0.3
"FJ","Fiji",1970,2.6,2024,3,0.4,0.0273448773448769,0.0200169956543739,55,2.86,2.7,-0.16,3.38,-0.68,2004,3.8,-0.8
"WS","Samoa",1970,1.1,2024,2.4,1.3,0.305699855699857,0.918498786397833,55,1.19,2.36,1.17,2.14,0.22,2015,2.8,-0.4
"VU","Vanuatu",1970,3.4,2024,1.9,-1.5,-0.301948051948054,0.837905298111339,55,3.67,2.04,-1.63,2.68,-0.64,1974,4.1,-2.2
"PG","Papua New Guinea",1970,1.1,2024,1,-0.1,-0.0136363636363639,0.0196166620536955,55,1.16,1,-0.16,1.3,-0.3,1998,1.7,-0.7
"KI","Kiribati",1970,0.5,2024,0.9,0.4,0.0675324675324678,0.382629477060471,55,0.59,0.84,0.25,0.64,0.2,2005,0.9,0
"SB","Solomon Islands",1970,0.8,2024,0.8,0,-0.0231601731601735,0.111414947450373,55,0.97,0.78,-0.19,0.98,-0.2,1981,1.2,-0.4
"FM","Micronesia",1970,0.5,2024,0.5,0,0.0158008658008661,0.164923248328799,55,0.4,0.5,0.1,0.4,0.1,1970,0.5,0
"TV","Tuvalu",1970,0.3,2024,0.4,0.1,0.0157287157287158,0.249454102628705,55,0.3,0.4,0.1,0.4,0,1990,0.4,0
"AS","American Samoa",1970,0.2,2024,0.2,0,-0.000216450216450212,0.000121477162293472,55,0.2,0.2,0,0.18,0.02,1970,0.2,0
"GU","Guam",1970,0.3,2024,0.1,-0.2,-0.0181818181818181,0.424242424242415,55,0.21,0.1,-0.11,0.1,0,1970,0.3,-0.2
"MH","Marshall Islands",1970,0,2024,0.1,0.1,0.00382395382395371,0.105158730158723,55,0.08,0.1,0.02,0.1,0,1972,0.1,0
"MP","Northern Mariana Islands",1970,0.1,2024,0.1,0,-4.7941441506944e-18,0.490219166281532,55,0.1,0.1,0,0.1,0,1970,0.1,0
"NR","Nauru",1970,0.1,2024,0.1,0,-4.7941441506944e-18,0.490219166281532,55,0.1,0.1,0,0.1,0,1970,0.1,0
