"country_code","country","sea_1993_1997_mm","sea_2019_2023_mm","sea_rise_mm","affected_2005_2023","loss_usd_2007_2020","pop_growth_2020_2025"
"PW","Palau",-60,120,180,37537,6190263,-0.141666666666667
"FM","Micronesia",-40,120,160,44608,28777200,0.463333333333333
"GU","Guam",-40,100,140,0,0,0.663333333333333
"PG","Papua New Guinea",-20,120,140,99308,4384329.57,1.76166666666667
"SB","Solomon Islands",0,140,140,562384,19674952,2.18166666666667
"VU","Vanuatu",0,140,140,273840,69568417.7,2.13666666666667
"FJ","Fiji",0,120,120,1240734,616943838,0.291666666666667
"MH","Marshall Islands",-20,100,120,180333,2235811.9,-2.90166666666667
"NU","Niue",0,120,120,0,0,-0.108333333333333
"CK","Cook Islands",0,100,100,5564,0,-2.98166666666667
"KI","Kiribati",0,100,100,2987,299700,1.49666666666667
"MP","Northern Mariana Islands",0,100,100,0,0,-1.54333333333333
"NC","New Caledonia",0,100,100,7,20310000,0.601666666666667
"NR","Nauru",0,100,100,6593,0,0.496666666666667
"PF","French Polynesia",0,100,100,0,30220000,0.181666666666667
"TO","Tonga",0,100,100,89891,35979538,-0.275
"TV","Tuvalu",0,100,100,11023,0,-1.73833333333333
"WF","Wallis and Futuna",20,120,100,0,0,-0.718333333333333
"WS","Samoa",20,120,100,29370,22048411,0.693333333333333
"AS","American Samoa",20,100,80,4044,0,-1.32333333333333
"TK","Tokelau",20,100,80,0,0,3.74333333333333
