"country_code","country","ghg_2020_2024","renewable_2000_2004","renewable_2019_2023","renewable_change","renewable_pct_change","power_2000_2004","power_2019_2023","power_change","power_pct_change","env_tax_2016_2021"
"PW","Palau",80.96,0,0.575,0.575,NA,103.76,102.34,-1.42,-1.36854279105629,NA
"NC","New Caledonia",18.58,5.934,7.3075,1.3735,23.1462756993596,1711.94,3193.4,1481.46,86.5369113403507,NA
"PF","French Polynesia",3.34,7.01,8.178,1.168,16.6619115549216,591.52,668.34,76.82,12.9868812550717,NA
"TO","Tonga",2.84,2.364,2.1775,-0.1865,-7.88917089678512,43.52,77,33.48,76.9301470588235,NA
"FJ","Fiji",2.7,43.206,26.6,-16.606,-38.4344766930519,746.9,1198.94,452.04,60.522158254117,1.14
"WS","Samoa",2.36,52.582,32.47,-20.112,-38.2488303982351,101.58,177.18,75.6,74.4240992321323,NA
"VU","Vanuatu",2.04,52.434,27.31,-25.124,-47.9154746919938,54.6,82.06,27.46,50.2930402930403,NA
"PG","Papua New Guinea",1,62.086,51.22,-10.866,-17.5015301356183,2288.28,2940.62,652.34,28.5078749104131,0.022
"KI","Kiribati",0.84,53.048,42.13,-10.918,-20.5813602774846,15.96,31.64,15.68,98.2456140350877,NA
"SB","Solomon Islands",0.78,52.718,49.15,-3.568,-6.76808680147198,58.06,105.94,47.88,82.4664140544265,5.08
"FM","Micronesia",0.5,1.232,1.94,0.708,57.4675324675325,88.22,83.32,-4.90000000000001,-5.55429607798686,NA
"TV","Tuvalu",0.4,0.028,5.8325,5.8045,20730.3571428571,4.86,10.44,5.58,114.814814814815,NA
"AS","American Samoa",0.2,0,0.505,0.505,NA,NA,NA,NA,NA,NA
"GU","Guam",0.1,0.446,5.0175,4.5715,1025,1771.44,1705.74,-65.7,-3.70884703969652,NA
"MH","Marshall Islands",0.1,18.848,11.7225,-7.1255,-37.8050721561969,76.58,82,5.42,7.07756594411074,NA
"MP","Northern Mariana Islands",0.1,0,0.4675,0.4675,NA,NA,NA,NA,NA,NA
"NR","Nauru",0.1,0,1.35,1.35,NA,36.44,51.84,15.4,42.2612513721186,0.98
"CK","Cook Islands",NA,10.58,9.06,-1.52,-14.366729678639,27.5,37.56,10.06,36.5818181818182,NA
"NU","Niue",NA,0.662,2.9725,2.3105,349.018126888218,3.06,3.84,0.78,25.4901960784314,NA
"TK","Tokelau",NA,NA,NA,NA,NA,0.6,1.8,1.2,200,NA
"WF","Wallis and Futuna",NA,4.264,3.4925,-0.7715,-18.093339587242,NA,NA,NA,NA,NA
