"country_code","country","year","station_ids"
"MH","Marshall Islands",1947,"513"
"GU","Guam",1948,"540"
"MH","Marshall Islands",1948,"513"
"AS","American Samoa",1949,"539"
"GU","Guam",1949,"540"
"MH","Marshall Islands",1949,"513"
"AS","American Samoa",1950,"539"
"GU","Guam",1950,"540"
"MH","Marshall Islands",1950,"513"
"AS","American Samoa",1951,"539"
"GU","Guam",1951,"540"
"MH","Marshall Islands",1951,"513"
"AS","American Samoa",1952,"539"
"GU","Guam",1952,"540"
"MH","Marshall Islands",1952,"513"
"AS","American Samoa",1953,"539"
"GU","Guam",1953,"540"
"MH","Marshall Islands",1953,"513"
"AS","American Samoa",1954,"539"
"GU","Guam",1954,"540"
"MH","Marshall Islands",1954,"513"
"AS","American Samoa",1955,"539"
"GU","Guam",1955,"540"
"MH","Marshall Islands",1955,"513"
"GU","Guam",1956,"540"
"MH","Marshall Islands",1956,"513"
"AS","American Samoa",1957,"539"
"GU","Guam",1957,"540"
"MH","Marshall Islands",1957,"513"
"AS","American Samoa",1958,"539"
"GU","Guam",1958,"540"
"MH","Marshall Islands",1958,"513"
"AS","American Samoa",1959,"539"
"GU","Guam",1959,"540"
"MH","Marshall Islands",1959,"513"
"AS","American Samoa",1960,"539"
"GU","Guam",1960,"540"
"MH","Marshall Islands",1960,"513"
"AS","American Samoa",1961,"539"
"GU","Guam",1961,"540"
"MH","Marshall Islands",1961,"513"
"AS","American Samoa",1962,"539"
"GU","Guam",1962,"540"
"MH","Marshall Islands",1962,"513"
"AS","American Samoa",1963,"539"
"GU","Guam",1963,"540"
"MH","Marshall Islands",1963,"513"
"AS","American Samoa",1964,"539"
"GU","Guam",1964,"540"
"MH","Marshall Islands",1964,"513"
"AS","American Samoa",1965,"539"
"GU","Guam",1965,"540"
"MH","Marshall Islands",1965,"513"
"AS","American Samoa",1966,"539"
"GU","Guam",1966,"540"
"MH","Marshall Islands",1966,"513"
"AS","American Samoa",1967,"539"
"GU","Guam",1967,"540"
"MH","Marshall Islands",1967,"513"
"AS","American Samoa",1968,"539"
"GU","Guam",1968,"540"
"AS","American Samoa",1969,"539"
"GU","Guam",1969,"540"
"MH","Marshall Islands",1969,"513,1217"
"AS","American Samoa",1970,"539"
"GU","Guam",1970,"540"
"MH","Marshall Islands",1970,"513,1217"
"AS","American Samoa",1971,"539"
"GU","Guam",1971,"540"
"MH","Marshall Islands",1971,"513,1217"
"AS","American Samoa",1972,"539"
"GU","Guam",1972,"540"
"MH","Marshall Islands",1972,"513,1217"
"AS","American Samoa",1973,"539"
"FJ","Fiji",1973,"1327"
"GU","Guam",1973,"540"
"MH","Marshall Islands",1973,"513"
"AS","American Samoa",1974,"539"
"GU","Guam",1974,"540"
"MH","Marshall Islands",1974,"513"
"AS","American Samoa",1975,"539"
"MH","Marshall Islands",1975,"513"
"FJ","Fiji",1976,"1327"
"MH","Marshall Islands",1976,"513,1217"
"FM","Micronesia",1976,"1370"
"SB","Solomon Islands",1976,"1373"
"AS","American Samoa",1977,"539"
"FJ","Fiji",1977,"1327"
"PF","French Polynesia",1977,"1397"
"GU","Guam",1977,"540"
"MH","Marshall Islands",1977,"513,1217"
"FM","Micronesia",1977,"1370"
"SB","Solomon Islands",1977,"1373"
"PF","French Polynesia",1978,"1397"
"GU","Guam",1978,"540"
"MH","Marshall Islands",1978,"513,1217"
"FM","Micronesia",1978,"1370"
"SB","Solomon Islands",1978,"1373"
"TV","Tuvalu",1978,"1452"
"PF","French Polynesia",1979,"1397"
"GU","Guam",1979,"540"
"MH","Marshall Islands",1979,"513"
"FM","Micronesia",1979,"1370"
"AS","American Samoa",1980,"539"
"PF","French Polynesia",1980,"1397"
"GU","Guam",1980,"540"
"MH","Marshall Islands",1980,"513"
"FM","Micronesia",1980,"1370"
"SB","Solomon Islands",1980,"1373"
"PF","French Polynesia",1981,"1397"
"GU","Guam",1981,"540"
"MH","Marshall Islands",1981,"513,1217"
"SB","Solomon Islands",1981,"1373"
"AS","American Samoa",1982,"539"
"FJ","Fiji",1982,"1327"
"PF","French Polynesia",1982,"1397"
"GU","Guam",1982,"540"
"MH","Marshall Islands",1982,"513,1217"
"FM","Micronesia",1982,"1370"
"SB","Solomon Islands",1982,"1373"
"TV","Tuvalu",1982,"1452"
"AS","American Samoa",1983,"539"
"PF","French Polynesia",1983,"1397"
"GU","Guam",1983,"540"
"MH","Marshall Islands",1983,"513,1217"
"FM","Micronesia",1983,"1370"
"SB","Solomon Islands",1983,"1373"
"TV","Tuvalu",1983,"1452"
"AS","American Samoa",1984,"539"
"PF","French Polynesia",1984,"1397"
"GU","Guam",1984,"540"
"MH","Marshall Islands",1984,"513,1217"
"FM","Micronesia",1984,"1370"
"SB","Solomon Islands",1984,"1373"
"TV","Tuvalu",1984,"1452"
"AS","American Samoa",1985,"539"
"PF","French Polynesia",1985,"1397"
"GU","Guam",1985,"540"
"MH","Marshall Islands",1985,"513,1217"
"FM","Micronesia",1985,"1370"
"PG","Papua New Guinea",1985,"1303,1608,1610"
"SB","Solomon Islands",1985,"1373"
"TV","Tuvalu",1985,"1452"
"AS","American Samoa",1986,"539"
"FJ","Fiji",1986,"1327"
"PF","French Polynesia",1986,"1397"
"MH","Marshall Islands",1986,"513,1217"
"FM","Micronesia",1986,"1370"
"PG","Papua New Guinea",1986,"1610"
"SB","Solomon Islands",1986,"1373"
"TV","Tuvalu",1986,"1452"
"AS","American Samoa",1987,"539"
"PF","French Polynesia",1987,"1397"
"GU","Guam",1987,"540"
"MH","Marshall Islands",1987,"513,1217"
"FM","Micronesia",1987,"1370"
"PG","Papua New Guinea",1987,"1303,1608,1610"
"SB","Solomon Islands",1987,"1373"
"TV","Tuvalu",1987,"1452"
"AS","American Samoa",1988,"539"
"FJ","Fiji",1988,"1327"
"PF","French Polynesia",1988,"1397"
"GU","Guam",1988,"540"
"KI","Kiribati",1988,"1739"
"MH","Marshall Islands",1988,"513,1217"
"FM","Micronesia",1988,"1370"
"PG","Papua New Guinea",1988,"1607,1608,1610"
"SB","Solomon Islands",1988,"1373"
"TV","Tuvalu",1988,"1452"
"AS","American Samoa",1989,"539"
"FJ","Fiji",1989,"1327"
"PF","French Polynesia",1989,"1397"
"GU","Guam",1989,"540"
"KI","Kiribati",1989,"1739"
"MH","Marshall Islands",1989,"513,1217"
"FM","Micronesia",1989,"1370"
"PG","Papua New Guinea",1989,"1303,1607,1608,1610"
"SB","Solomon Islands",1989,"1373"
"TV","Tuvalu",1989,"1452"
"AS","American Samoa",1990,"539"
"FJ","Fiji",1990,"1327"
"PF","French Polynesia",1990,"1397"
"GU","Guam",1990,"540"
"KI","Kiribati",1990,"1739"
"MH","Marshall Islands",1990,"513,1217"
"FM","Micronesia",1990,"1370"
"PG","Papua New Guinea",1990,"1607,1608,1610"
"SB","Solomon Islands",1990,"1373"
"TV","Tuvalu",1990,"1452"
"AS","American Samoa",1991,"539"
"FJ","Fiji",1991,"1327"
"PF","French Polynesia",1991,"1397"
"GU","Guam",1991,"540"
"KI","Kiribati",1991,"1739"
"MH","Marshall Islands",1991,"513,1217"
"PG","Papua New Guinea",1991,"1303,1608,1610"
"SB","Solomon Islands",1991,"1373"
"TV","Tuvalu",1991,"1452"
"AS","American Samoa",1992,"539"
"FJ","Fiji",1992,"1327"
"PF","French Polynesia",1992,"1397"
"GU","Guam",1992,"540"
"KI","Kiribati",1992,"1739"
"MH","Marshall Islands",1992,"513,1217"
"FM","Micronesia",1992,"1370"
"PG","Papua New Guinea",1992,"1303,1608,1610"
"SB","Solomon Islands",1992,"1373"
"TV","Tuvalu",1992,"1452"
"AS","American Samoa",1993,"539"
"FJ","Fiji",1993,"1327,1805"
"PF","French Polynesia",1993,"1397"
"KI","Kiribati",1993,"1739"
"MH","Marshall Islands",1993,"513,1217"
"FM","Micronesia",1993,"1370"
"PG","Papua New Guinea",1993,"1303,1607,1608,1610"
"SB","Solomon Islands",1993,"1373"
"TV","Tuvalu",1993,"1452"
"AS","American Samoa",1994,"539"
"CK","Cook Islands",1994,"1843"
"FJ","Fiji",1994,"1327,1805"
"PF","French Polynesia",1994,"1397"
"GU","Guam",1994,"540"
"KI","Kiribati",1994,"1739"
"MH","Marshall Islands",1994,"513,1217,1838"
"FM","Micronesia",1994,"1370"
"PG","Papua New Guinea",1994,"1303,1607,1608,1610"
"SB","Solomon Islands",1994,"1373"
"TV","Tuvalu",1994,"1452,1839"
"VU","Vanuatu",1994,"1841"
"AS","American Samoa",1995,"539"
"CK","Cook Islands",1995,"1843"
"FJ","Fiji",1995,"1327,1805"
"PF","French Polynesia",1995,"1397"
"GU","Guam",1995,"540"
"KI","Kiribati",1995,"1739,1804"
"MH","Marshall Islands",1995,"513,1217,1838"
"FM","Micronesia",1995,"1370"
"PG","Papua New Guinea",1995,"1608"
"SB","Solomon Islands",1995,"1861"
"TV","Tuvalu",1995,"1452,1839"
"VU","Vanuatu",1995,"1841"
"AS","American Samoa",1996,"539"
"CK","Cook Islands",1996,"1843"
"FJ","Fiji",1996,"1327,1805"
"PF","French Polynesia",1996,"1397"
"GU","Guam",1996,"540"
"KI","Kiribati",1996,"1739,1804"
"MH","Marshall Islands",1996,"513,1217,1838"
"FM","Micronesia",1996,"1370"
"PG","Papua New Guinea",1996,"1608"
"SB","Solomon Islands",1996,"1861"
"TV","Tuvalu",1996,"1452,1839"
"VU","Vanuatu",1996,"1841"
"AS","American Samoa",1997,"539"
"CK","Cook Islands",1997,"1843"
"FJ","Fiji",1997,"1805"
"PF","French Polynesia",1997,"1397"
"GU","Guam",1997,"540"
"KI","Kiribati",1997,"1739,1804"
"MH","Marshall Islands",1997,"513,1217,1838"
"FM","Micronesia",1997,"1370"
"PG","Papua New Guinea",1997,"1303,1608,1860"
"TV","Tuvalu",1997,"1452,1839"
"VU","Vanuatu",1997,"1841"
"AS","American Samoa",1998,"539"
"CK","Cook Islands",1998,"1843"
"FJ","Fiji",1998,"1805,2356"
"PF","French Polynesia",1998,"1397"
"KI","Kiribati",1998,"1804"
"MH","Marshall Islands",1998,"513,1217,1838"
"FM","Micronesia",1998,"1370"
"PG","Papua New Guinea",1998,"1860"
"SB","Solomon Islands",1998,"1861"
"TV","Tuvalu",1998,"1452,1839"
"VU","Vanuatu",1998,"1841"
"AS","American Samoa",1999,"539"
"CK","Cook Islands",1999,"1843"
"FJ","Fiji",1999,"1805,2356"
"PF","French Polynesia",1999,"1397"
"KI","Kiribati",1999,"1804"
"MH","Marshall Islands",1999,"513,1217,1838"
"FM","Micronesia",1999,"1370"
"PG","Papua New Guinea",1999,"1860"
"SB","Solomon Islands",1999,"1861"
"TV","Tuvalu",1999,"1452,1839"
"VU","Vanuatu",1999,"1841"
"CK","Cook Islands",2000,"1843"
"FJ","Fiji",2000,"1805,2356"
"PF","French Polynesia",2000,"1397"
"GU","Guam",2000,"540"
"KI","Kiribati",2000,"1804"
