"country_code","country","year","population_growth_pct"
"AS","American Samoa",1990,3.22
"AS","American Samoa",1991,2.64
"AS","American Samoa",1992,2.42
"AS","American Samoa",1993,2.29
"AS","American Samoa",1994,2.17
"AS","American Samoa",1995,2.08
"AS","American Samoa",1996,1.99
"AS","American Samoa",1997,1.88
"AS","American Samoa",1998,1.79
"AS","American Samoa",1999,1.65
"AS","American Samoa",2000,1.07
"AS","American Samoa",2001,0.35
"AS","American Samoa",2002,0.01
"AS","American Samoa",2003,-0.16
"AS","American Samoa",2004,-0.26
"AS","American Samoa",2005,-0.35
"AS","American Samoa",2006,-0.43
"AS","American Samoa",2007,-0.46
"AS","American Samoa",2008,-0.51
"AS","American Samoa",2009,-0.54
"AS","American Samoa",2010,-0.54
"AS","American Samoa",2011,-0.6
"AS","American Samoa",2012,-0.73
"AS","American Samoa",2013,-0.89
"AS","American Samoa",2014,-1.01
"AS","American Samoa",2015,-1.1
"AS","American Samoa",2016,-1.19
"AS","American Samoa",2017,-1.26
"AS","American Samoa",2018,-1.31
"AS","American Samoa",2019,-1.38
"AS","American Samoa",2020,-0.89
"AS","American Samoa",2021,-1.07
"AS","American Samoa",2022,-1.8
"AS","American Samoa",2023,-1.69
"AS","American Samoa",2024,-0.89
"AS","American Samoa",2025,-1.6
"CK","Cook Islands",1990,1.08
"CK","Cook Islands",1991,1.12
"CK","Cook Islands",1992,0.92
"CK","Cook Islands",1993,0.7
"CK","Cook Islands",1994,0.52
"CK","Cook Islands",1995,0.56
"CK","Cook Islands",1996,0.4
"CK","Cook Islands",1997,-1.3
"CK","Cook Islands",1998,-3.11
"CK","Cook Islands",1999,-3.49
"CK","Cook Islands",2000,-3.77
"CK","Cook Islands",2001,-3.87
"CK","Cook Islands",2002,-1.73
"CK","Cook Islands",2003,0.37
"CK","Cook Islands",2004,0.34
"CK","Cook Islands",2005,0.35
"CK","Cook Islands",2006,0.5
"CK","Cook Islands",2007,1.91
"CK","Cook Islands",2008,3.08
"CK","Cook Islands",2009,3.13
"CK","Cook Islands",2010,3.01
"CK","Cook Islands",2011,2.81
"CK","Cook Islands",2012,1.18
"CK","Cook Islands",2013,-0.3
"CK","Cook Islands",2014,-0.44
"CK","Cook Islands",2015,-0.48
"CK","Cook Islands",2016,-0.66
"CK","Cook Islands",2017,-1.63
"CK","Cook Islands",2018,-2.68
"CK","Cook Islands",2019,-2.76
"CK","Cook Islands",2020,-3
"CK","Cook Islands",2021,-2.96
"CK","Cook Islands",2022,-2.96
"CK","Cook Islands",2023,-3.39
"CK","Cook Islands",2024,-2.17
"CK","Cook Islands",2025,-3.41
"FJ","Fiji",1990,0.91
"FJ","Fiji",1991,0.82
"FJ","Fiji",1992,0.73
"FJ","Fiji",1993,0.64
"FJ","Fiji",1994,0.56
"FJ","Fiji",1995,0.5
"FJ","Fiji",1996,0.63
"FJ","Fiji",1997,1.04
"FJ","Fiji",1998,1.25
"FJ","Fiji",1999,1.16
"FJ","Fiji",2000,1.09
"FJ","Fiji",2001,1.03
"FJ","Fiji",2002,1
"FJ","Fiji",2003,0.96
"FJ","Fiji",2004,0.93
"FJ","Fiji",2005,0.92
"FJ","Fiji",2006,0.9
"FJ","Fiji",2007,0.84
"FJ","Fiji",2008,0.62
"FJ","Fiji",2009,0.42
"FJ","Fiji",2010,0.35
"FJ","Fiji",2011,0.28
"FJ","Fiji",2012,0.21
"FJ","Fiji",2013,0.16
"FJ","Fiji",2014,0.13
"FJ","Fiji",2015,0.11
"FJ","Fiji",2016,0.06
"FJ","Fiji",2017,-0.04
"FJ","Fiji",2018,-0.17
"FJ","Fiji",2019,-0.25
"FJ","Fiji",2020,0.01
"FJ","Fiji",2021,0.19
"FJ","Fiji",2022,0.3
"FJ","Fiji",2023,0.51
"FJ","Fiji",2024,0.26
"FJ","Fiji",2025,0.48
"PF","French Polynesia",1990,2.07
"PF","French Polynesia",1991,1.95
"PF","French Polynesia",1992,1.83
"PF","French Polynesia",1993,1.73
"PF","French Polynesia",1994,1.64
"PF","French Polynesia",1995,1.55
"PF","French Polynesia",1996,1.52
"PF","French Polynesia",1997,1.61
"PF","French Polynesia",1998,1.64
"PF","French Polynesia",1999,1.59
"PF","French Polynesia",2000,1.58
"PF","French Polynesia",2001,1.56
"PF","French Polynesia",2002,1.51
"PF","French Polynesia",2003,1.56
"PF","French Polynesia",2004,1.59
"PF","French Polynesia",2005,1.5
"PF","French Polynesia",2006,1.43
"PF","French Polynesia",2007,1.22
"PF","French Polynesia",2008,0.73
"PF","French Polynesia",2009,0.41
"PF","French Polynesia",2010,0.41
"PF","French Polynesia",2011,0.42
"PF","French Polynesia",2012,0.5
"PF","French Polynesia",2013,0.6
"PF","French Polynesia",2014,0.6
"PF","French Polynesia",2015,0.54
"PF","French Polynesia",2016,0.47
"PF","French Polynesia",2017,0.32
"PF","French Polynesia",2018,-0.1
"PF","French Polynesia",2019,-0.28
"PF","French Polynesia",2020,0.06
"PF","French Polynesia",2021,0.21
"PF","French Polynesia",2022,0.21
"PF","French Polynesia",2023,0.26
"PF","French Polynesia",2024,0.11
"PF","French Polynesia",2025,0.24
"GU","Guam",1990,2.08
"GU","Guam",1991,1.77
"GU","Guam",1992,1.65
"GU","Guam",1993,1.57
"GU","Guam",1994,1.52
"GU","Guam",1995,1.48
"GU","Guam",1996,1.41
"GU","Guam",1997,1.35
"GU","Guam",1998,1.31
"GU","Guam",1999,1.32
"GU","Guam",2000,1.12
"GU","Guam",2001,0.79
"GU","Guam",2002,0.61
"GU","Guam",2003,0.5
"GU","Guam",2004,0.41
"GU","Guam",2005,0.34
"GU","Guam",2006,0.29
"GU","Guam",2007,0.26
"GU","Guam",2008,0.26
"GU","Guam",2009,0.29
"GU","Guam",2010,0.21
"GU","Guam",2011,0
