"country_code","country","year","sea_level_anomaly_mm","station_count"
"AS","American Samoa",1949,-119,1
"AS","American Samoa",1950,-68,1
"AS","American Samoa",1951,-78,1
"AS","American Samoa",1952,-96,1
"AS","American Samoa",1953,-144,1
"AS","American Samoa",1954,-77,1
"AS","American Samoa",1955,-16,1
"AS","American Samoa",1957,-67,1
"AS","American Samoa",1958,-133,1
"AS","American Samoa",1959,-84,1
"AS","American Samoa",1960,-18,1
"AS","American Samoa",1961,-48,1
"AS","American Samoa",1962,-49,1
"AS","American Samoa",1963,-56,1
"AS","American Samoa",1964,-58,1
"AS","American Samoa",1965,-49,1
"AS","American Samoa",1966,-119,1
"AS","American Samoa",1967,-45,1
"AS","American Samoa",1968,-53,1
"AS","American Samoa",1969,-74,1
"AS","American Samoa",1970,-60,1
"AS","American Samoa",1971,12,1
"AS","American Samoa",1972,-49,1
"AS","American Samoa",1973,-100,1
"AS","American Samoa",1974,8,1
"AS","American Samoa",1975,-42,1
"AS","American Samoa",1977,-84,1
"AS","American Samoa",1980,-26,1
"AS","American Samoa",1982,2,1
"AS","American Samoa",1983,-172,1
"AS","American Samoa",1984,-33,1
"AS","American Samoa",1985,20,1
"AS","American Samoa",1986,7,1
"AS","American Samoa",1987,-80,1
"AS","American Samoa",1988,-56,1
"AS","American Samoa",1989,-28,1
"AS","American Samoa",1990,-17,1
"AS","American Samoa",1991,9,1
"AS","American Samoa",1992,-49,1
"AS","American Samoa",1993,16,1
"AS","American Samoa",1994,81,1
"AS","American Samoa",1995,-1,1
"AS","American Samoa",1996,56,1
"AS","American Samoa",1997,4,1
"AS","American Samoa",1998,-199,1
"AS","American Samoa",1999,43,1
"AS","American Samoa",2001,47,1
"AS","American Samoa",2002,32,1
"AS","American Samoa",2003,42,1
"AS","American Samoa",2004,73,1
"AS","American Samoa",2005,30,1
"AS","American Samoa",2006,79,1
"AS","American Samoa",2007,58,1
"AS","American Samoa",2008,50,1
"AS","American Samoa",2009,53,1
"AS","American Samoa",2010,81,1
"AS","American Samoa",2011,197,1
"AS","American Samoa",2012,176,1
"AS","American Samoa",2013,160,1
"AS","American Samoa",2014,174,1
"AS","American Samoa",2015,215,1
"AS","American Samoa",2016,164,1
"AS","American Samoa",2017,237,1
"AS","American Samoa",2018,255,1
"AS","American Samoa",2019,306,1
"AS","American Samoa",2022,290,1
"AS","American Samoa",2023,282,1
"AS","American Samoa",2024,241,1
"CK","Cook Islands",1994,-3.57142857142844,1
"CK","Cook Islands",1995,-42.5714285714284,1
"CK","Cook Islands",1996,20.4285714285716,1
"CK","Cook Islands",1997,36.4285714285716,1
"CK","Cook Islands",1998,-69.5714285714284,1
"CK","Cook Islands",1999,61.4285714285716,1
"CK","Cook Islands",2000,-2.57142857142844,1
"CK","Cook Islands",2001,-1.57142857142844,1
"CK","Cook Islands",2002,-11.5714285714284,1
"CK","Cook Islands",2003,-2.57142857142844,1
"CK","Cook Islands",2004,-8.57142857142844,1
"CK","Cook Islands",2005,6.42857142857156,1
"CK","Cook Islands",2006,91.4285714285716,1
"CK","Cook Islands",2007,81.4285714285716,1
"CK","Cook Islands",2008,69.4285714285716,1
"CK","Cook Islands",2009,58.4285714285716,1
"CK","Cook Islands",2011,99.4285714285716,1
"CK","Cook Islands",2013,27.4285714285716,1
"CK","Cook Islands",2014,55.4285714285716,1
"CK","Cook Islands",2015,38.4285714285716,1
"CK","Cook Islands",2016,73.4285714285716,1
"CK","Cook Islands",2017,73.4285714285716,1
"CK","Cook Islands",2018,44.4285714285716,1
"CK","Cook Islands",2019,98.4285714285716,1
"CK","Cook Islands",2020,74.4285714285716,1
"CK","Cook Islands",2021,147.428571428572,1
"CK","Cook Islands",2022,166.428571428572,1
"CK","Cook Islands",2023,122.428571428572,1
"CK","Cook Islands",2024,107.428571428572,1
"FJ","Fiji",1973,-92.5,1
"FJ","Fiji",1976,-50.5,1
